CODIGO_AUTO;CODIGO;DESCRIPCION;REFERENCIA;TIPO INSUMO DET;TIPO INSUMO;UND NEGOCIOS;CENTRO_COSTOS
1732;3732;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -11.00;LCI-0001732;150;4;U04;200101
1733;3733;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -11.25;LCI-0001733;150;4;U04;200101
1734;3734;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -11.50;LCI-0001734;150;4;U04;200101
1735;3735;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -11.75;LCI-0001735;150;4;U04;200101
1736;3736;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -12.00;LCI-0001736;150;4;U04;200101
1737;3737;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -12.25;LCI-0001737;150;4;U04;200101
1738;3738;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -12.50;LCI-0001738;150;4;U04;200101
1739;3739;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -12.75;LCI-0001739;150;4;U04;200101
1740;3740;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -13.00;LCI-0001740;150;4;U04;200101
1741;3741;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -13.25;LCI-0001741;150;4;U04;200101
1742;3742;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -13.50;LCI-0001742;150;4;U04;200101
1743;3743;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -13.75;LCI-0001743;150;4;U04;200101
1744;3744;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -14.00;LCI-0001744;150;4;U04;200101
1745;3745;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -14.25;LCI-0001745;150;4;U04;200101
1746;3746;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -14.50;LCI-0001746;150;4;U04;200101
1747;3747;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -14.75;LCI-0001747;150;4;U04;200101
1748;3748;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -15.00;LCI-0001748;150;4;U04;200101
1749;3749;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -15.25;LCI-0001749;150;4;U04;200101
1750;3750;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -15.50;LCI-0001750;150;4;U04;200101
1751;3751;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -15.75;LCI-0001751;150;4;U04;200101
1752;3752;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -16.00;LCI-0001752;150;4;U04;200101
1753;3753;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -16.25;LCI-0001753;150;4;U04;200101
1754;3754;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -16.50;LCI-0001754;150;4;U04;200101
1755;3755;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -16.75;LCI-0001755;150;4;U04;200101
1756;3756;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -17.00;LCI-0001756;150;4;U04;200101
1757;3757;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -17.25;LCI-0001757;150;4;U04;200101
1758;3758;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -17.50;LCI-0001758;150;4;U04;200101
1759;3759;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -18.00;LCI-0001759;150;4;U04;200101
1760;3760;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -18.25;LCI-0001760;150;4;U04;200101
1761;3761;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -18.50;LCI-0001761;150;4;U04;200101
1762;3762;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -18.75;LCI-0001762;150;4;U04;200101
1763;3763;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -19.00;LCI-0001763;150;4;U04;200101
1764;3764;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -19.25;LCI-0001764;150;4;U04;200101
1765;3765;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -19.50;LCI-0001765;150;4;U04;200101
1766;3766;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -19.75;LCI-0001766;150;4;U04;200101
1767;3767;LENTES DE CONTACTO PROCLEAR MULTIFOCAL TORIC -20.00;LCI-0001767;150;4;U04;200101
1768;3768;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +8.00;LCI-0001768;150;4;U04;200101
1769;3769;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +7.75;LCI-0001769;150;4;U04;200101
1770;3770;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +7.50;LCI-0001770;150;4;U04;200101
1771;3771;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +7.25;LCI-0001771;150;4;U04;200101
1772;3772;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +7.00;LCI-0001772;150;4;U04;200101
1773;3773;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +6.75;LCI-0001773;150;4;U04;200101
1774;3774;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +6.50;LCI-0001774;150;4;U04;200101
1775;3775;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +6.25;LCI-0001775;150;4;U04;200101
1776;3776;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +6.00;LCI-0001776;150;4;U04;200101
1777;3777;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +5.50;LCI-0001777;150;4;U04;200101
1778;3778;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +5.00;LCI-0001778;150;4;U04;200101
1779;3779;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +4.50;LCI-0001779;150;4;U04;200101
1780;3780;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +4.00;LCI-0001780;150;4;U04;200101
1781;3781;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +3.50;LCI-0001781;150;4;U04;200101
1782;3782;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +3.00;LCI-0001782;150;4;U04;200101
1783;3783;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +2.50;LCI-0001783;150;4;U04;200101
1784;3784;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +2.00;LCI-0001784;150;4;U04;200101
1785;3785;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +1.50;LCI-0001785;150;4;U04;200101
1786;3786;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +1.00;LCI-0001786;150;4;U04;200101
1787;3787;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +0.50;LCI-0001787;150;4;U04;200101
1788;3788;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES +0.00;LCI-0001788;150;4;U04;200101
1789;3789;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -0.50;LCI-0001789;150;4;U04;200101
1790;3790;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -1.00;LCI-0001790;150;4;U04;200101
1791;3791;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -1.50;LCI-0001791;150;4;U04;200101
1792;3792;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -2.00;LCI-0001792;150;4;U04;200101
1793;3793;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -2.50;LCI-0001793;150;4;U04;200101
1794;3794;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -3.00;LCI-0001794;150;4;U04;200101
1795;3795;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -3.50;LCI-0001795;150;4;U04;200101
1796;3796;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -4.00;LCI-0001796;150;4;U04;200101
1797;3797;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -4.50;LCI-0001797;150;4;U04;200101
1798;3798;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -5.00;LCI-0001798;150;4;U04;200101
1799;3799;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -5.50;LCI-0001799;150;4;U04;200101
1800;3800;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -6.00;LCI-0001800;150;4;U04;200101
1801;3801;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -6.50;LCI-0001801;150;4;U04;200101
1802;3802;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -6.75;LCI-0001802;150;4;U04;200101
1803;3803;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -7.00;LCI-0001803;150;4;U04;200101
1804;3804;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -7.25;LCI-0001804;150;4;U04;200101
1805;3805;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -7.50;LCI-0001805;150;4;U04;200101
1806;3806;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -7.75;LCI-0001806;150;4;U04;200101
1807;3807;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -8.00;LCI-0001807;150;4;U04;200101
1808;3808;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -8.25;LCI-0001808;150;4;U04;200101
1809;3809;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -8.50;LCI-0001809;150;4;U04;200101
1810;3810;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -8.75;LCI-0001810;150;4;U04;200101
1811;3811;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -9.00;LCI-0001811;150;4;U04;200101
1812;3812;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -9.25;LCI-0001812;150;4;U04;200101
1813;3813;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -9.50;LCI-0001813;150;4;U04;200101
1814;3814;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -9.75;LCI-0001814;150;4;U04;200101
1815;3815;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -10.00;LCI-0001815;150;4;U04;200101
1816;3816;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -10.25;LCI-0001816;150;4;U04;200101
1817;3817;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -10.50;LCI-0001817;150;4;U04;200101
1818;3818;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -10.75;LCI-0001818;150;4;U04;200101
1819;3819;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -11.00;LCI-0001819;150;4;U04;200101
1820;3820;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -11.25;LCI-0001820;150;4;U04;200101
1821;3821;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -11.50;LCI-0001821;150;4;U04;200101
1822;3822;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -11.75;LCI-0001822;150;4;U04;200101
1823;3823;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 30 LENTES -12.00;LCI-0001823;150;4;U04;200101
1824;3824;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +8.00;LCI-0001824;150;4;U04;200101
1825;3825;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +7.75;LCI-0001825;150;4;U04;200101
1826;3826;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +7.50;LCI-0001826;150;4;U04;200101
1827;3827;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +7.25;LCI-0001827;150;4;U04;200101
1828;3828;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +7.00;LCI-0001828;150;4;U04;200101
1829;3829;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +6.75;LCI-0001829;150;4;U04;200101
1830;3830;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +6.50;LCI-0001830;150;4;U04;200101
1831;3831;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +6.25;LCI-0001831;150;4;U04;200101
1832;3832;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +6.00;LCI-0001832;150;4;U04;200101
1833;3833;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +5.75;LCI-0001833;150;4;U04;200101
1834;3834;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +5.50;LCI-0001834;150;4;U04;200101
1835;3835;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +5.25;LCI-0001835;150;4;U04;200101
1836;3836;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +5.00;LCI-0001836;150;4;U04;200101
1837;3837;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +4.50;LCI-0001837;150;4;U04;200101
1838;3838;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +4.00;LCI-0001838;150;4;U04;200101
1839;3839;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +3.50;LCI-0001839;150;4;U04;200101
1840;3840;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +3.00;LCI-0001840;150;4;U04;200101
1841;3841;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +2.50;LCI-0001841;150;4;U04;200101
1842;3842;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +2.00;LCI-0001842;150;4;U04;200101
1843;3843;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +1.50;LCI-0001843;150;4;U04;200101
1844;3844;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +1.00;LCI-0001844;150;4;U04;200101
1845;3845;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +0.50;LCI-0001845;150;4;U04;200101
1846;3846;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES +0.00;LCI-0001846;150;4;U04;200101
1847;3847;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -0.50;LCI-0001847;150;4;U04;200101
1848;3848;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -1.00;LCI-0001848;150;4;U04;200101
1849;3849;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -1.50;LCI-0001849;150;4;U04;200101
1850;3850;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -2.00;LCI-0001850;150;4;U04;200101
1851;3851;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -2.50;LCI-0001851;150;4;U04;200101
1852;3852;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -3.00;LCI-0001852;150;4;U04;200101
1853;3853;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -3.50;LCI-0001853;150;4;U04;200101
1854;3854;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -4.00;LCI-0001854;150;4;U04;200101
1855;3855;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -4.50;LCI-0001855;150;4;U04;200101
1856;3856;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -5.00;LCI-0001856;150;4;U04;200101
1857;3857;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -5.50;LCI-0001857;150;4;U04;200101
1858;3858;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -6.00;LCI-0001858;150;4;U04;200101
1859;3859;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -6.25;LCI-0001859;150;4;U04;200101
1860;3860;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -6.50;LCI-0001860;150;4;U04;200101
1861;3861;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -6.75;LCI-0001861;150;4;U04;200101
1862;3862;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -7.00;LCI-0001862;150;4;U04;200101
1863;3863;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -7.25;LCI-0001863;150;4;U04;200101
1864;3864;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -7.50;LCI-0001864;150;4;U04;200101
1865;3865;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -7.75;LCI-0001865;150;4;U04;200101
1866;3866;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -8.00;LCI-0001866;150;4;U04;200101
1867;3867;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -8.25;LCI-0001867;150;4;U04;200101
1868;3868;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -8.50;LCI-0001868;150;4;U04;200101
1869;3869;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -8.75;LCI-0001869;150;4;U04;200101
1870;3870;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -9.00;LCI-0001870;150;4;U04;200101
1871;3871;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -9.25;LCI-0001871;150;4;U04;200101
1872;3872;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -9.50;LCI-0001872;150;4;U04;200101
1873;3873;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -9.75;LCI-0001873;150;4;U04;200101
1874;3874;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -10.00;LCI-0001874;150;4;U04;200101
1875;3875;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -10.25;LCI-0001875;150;4;U04;200101
1876;3876;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -10.50;LCI-0001876;150;4;U04;200101
1877;3877;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -10.75;LCI-0001877;150;4;U04;200101
1878;3878;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -11.00;LCI-0001878;150;4;U04;200101
1879;3879;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -11.25;LCI-0001879;150;4;U04;200101
1880;3880;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -11.50;LCI-0001880;150;4;U04;200101
1881;3881;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -11.75;LCI-0001881;150;4;U04;200101
1882;3882;LENTES DE CONTACTO PROCLEAR 1 DAY CAJA X 90 LENTES -12.00;LCI-0001882;150;4;U04;200101
1883;3883;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +6.00;LCI-0001883;150;4;U04;200101
1884;3884;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +5.75;LCI-0001884;150;4;U04;200101
1885;3885;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +5.50;LCI-0001885;150;4;U04;200101
1886;3886;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +5.25;LCI-0001886;150;4;U04;200101
1887;3887;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +5.00;LCI-0001887;150;4;U04;200101
1888;3888;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +4.75;LCI-0001888;150;4;U04;200101
1889;3889;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +4.50;LCI-0001889;150;4;U04;200101
1890;3890;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +4.25;LCI-0001890;150;4;U04;200101
1891;3891;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +4.00;LCI-0001891;150;4;U04;200101
1892;3892;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +3.75;LCI-0001892;150;4;U04;200101
1893;3893;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +3.50;LCI-0001893;150;4;U04;200101
1894;3894;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +3.25;LCI-0001894;150;4;U04;200101
1895;3895;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +3.00;LCI-0001895;150;4;U04;200101
1896;3896;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +2.75;LCI-0001896;150;4;U04;200101
1897;3897;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +2.50;LCI-0001897;150;4;U04;200101
1898;3898;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +2.25;LCI-0001898;150;4;U04;200101
1899;3899;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +2.00;LCI-0001899;150;4;U04;200101
1900;3900;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +1.75;LCI-0001900;150;4;U04;200101
1901;3901;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +1.50;LCI-0001901;150;4;U04;200101
1902;3902;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +1.25;LCI-0001902;150;4;U04;200101
1903;3903;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +1.00;LCI-0001903;150;4;U04;200101
1904;3904;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +0.75;LCI-0001904;150;4;U04;200101
1905;3905;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +0.50;LCI-0001905;150;4;U04;200101
1906;3906;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +0.25;LCI-0001906;150;4;U04;200101
1907;3907;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL +0.00;LCI-0001907;150;4;U04;200101
1908;3908;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -0.25;LCI-0001908;150;4;U04;200101
1909;3909;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -0.50;LCI-0001909;150;4;U04;200101
1910;3910;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -0.75;LCI-0001910;150;4;U04;200101
1911;3911;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -1.00;LCI-0001911;150;4;U04;200101
1912;3912;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -1.25;LCI-0001912;150;4;U04;200101
1913;3913;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -1.50;LCI-0001913;150;4;U04;200101
1914;3914;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -1.75;LCI-0001914;150;4;U04;200101
1915;3915;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -2.00;LCI-0001915;150;4;U04;200101
1916;3916;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -2.25;LCI-0001916;150;4;U04;200101
1917;3917;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -2.50;LCI-0001917;150;4;U04;200101
1918;3918;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -2.75;LCI-0001918;150;4;U04;200101
1919;3919;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -3.00;LCI-0001919;150;4;U04;200101
1920;3920;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -3.25;LCI-0001920;150;4;U04;200101
1921;3921;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -3.50;LCI-0001921;150;4;U04;200101
1922;3922;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -3.75;LCI-0001922;150;4;U04;200101
1923;3923;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -4.00;LCI-0001923;150;4;U04;200101
1924;3924;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -4.25;LCI-0001924;150;4;U04;200101
1925;3925;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -4.50;LCI-0001925;150;4;U04;200101
1926;3926;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -4.75;LCI-0001926;150;4;U04;200101
1927;3927;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -5.00;LCI-0001927;150;4;U04;200101
1928;3928;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -5.25;LCI-0001928;150;4;U04;200101
1929;3929;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -5.50;LCI-0001929;150;4;U04;200101
1930;3930;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -5.75;LCI-0001930;150;4;U04;200101
1931;3931;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -6.00;LCI-0001931;150;4;U04;200101
1932;3932;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -6.50;LCI-0001932;150;4;U04;200101
1933;3933;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -7.00;LCI-0001933;150;4;U04;200101
1934;3934;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -7.50;LCI-0001934;150;4;U04;200101
1935;3935;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -8.00;LCI-0001935;150;4;U04;200101
1936;3936;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -8.50;LCI-0001936;150;4;U04;200101
1937;3937;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -9.00;LCI-0001937;150;4;U04;200101
1938;3938;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -9.50;LCI-0001938;150;4;U04;200101
1939;3939;LENTES DE CONTACTO PROCLEAR 1 DAY MULTIFOCAL -10.00;LCI-0001939;150;4;U04;200101
1940;3940;LENTES DE CONTACTO FREQUENCY +8.00;LCI-0001940;150;4;U04;200101
1941;3941;LENTES DE CONTACTO FREQUENCY +7.75;LCI-0001941;150;4;U04;200101
1942;3942;LENTES DE CONTACTO FREQUENCY +7.50;LCI-0001942;150;4;U04;200101
1943;3943;LENTES DE CONTACTO FREQUENCY +7.25;LCI-0001943;150;4;U04;200101
1944;3944;LENTES DE CONTACTO FREQUENCY +7.00;LCI-0001944;150;4;U04;200101
1945;3945;LENTES DE CONTACTO FREQUENCY +6.75;LCI-0001945;150;4;U04;200101
1946;3946;LENTES DE CONTACTO FREQUENCY +6.50;LCI-0001946;150;4;U04;200101
1947;3947;LENTES DE CONTACTO FREQUENCY +6.25;LCI-0001947;150;4;U04;200101
1948;3948;LENTES DE CONTACTO FREQUENCY +6.00;LCI-0001948;150;4;U04;200101
1949;3949;LENTES DE CONTACTO FREQUENCY +5.75;LCI-0001949;150;4;U04;200101
1950;3950;LENTES DE CONTACTO FREQUENCY +5.50;LCI-0001950;150;4;U04;200101
